기준년월,지자체,방문자 구분,방문자수
202302,광주광역시,외부방문자(b+c),4755751.0
202302,광주광역시,전체방문자(a+b+c),2.5479783E7
202302,대전광역시,현지인방문자(a),2.153234E7
202302,대전광역시,외지인방문자(b),6167550.0
202302,대전광역시,외국인방문자(c),5116.0
202302,대전광역시,외부방문자(b+c),6172665.0
202302,대전광역시,전체방문자(a+b+c),2.7705005E7
202302,울산광역시,현지인방문자(a),1.5817792E7
202302,울산광역시,외지인방문자(b),3567974.0
202302,울산광역시,외국인방문자(c),2754.0
202302,울산광역시,외부방문자(b+c),3570727.0
202302,울산광역시,전체방문자(a+b+c),1.9388519E7
202302,세종특별자치시,현지인방문자(a),5087932.0
202302,세종특별자치시,외지인방문자(b),2081051.0
202302,세종특별자치시,외국인방문자(c),1850.0
202302,세종특별자치시,외부방문자(b+c),2082901.0
202302,세종특별자치시,전체방문자(a+b+c),7170833.0
202302,경기도,현지인방문자(a),1.85737556E8
202302,경기도,외지인방문자(b),4.6803474E7
202302,경기도,외국인방문자(c),67453.0
202302,경기도,외부방문자(b+c),4.6870926E7
202302,경기도,전체방문자(a+b+c),2.32608482E8
202302,충청북도,현지인방문자(a),2.3178526E7
202302,충청북도,외지인방문자(b),7548436.0
202302,충청북도,외국인방문자(c),9860.0
202302,충청북도,외부방문자(b+c),7558296.0
202302,충청북도,전체방문자(a+b+c),3.0736822E7
202302,충청남도,현지인방문자(a),3.0996161E7
202302,충청남도,외지인방문자(b),1.1278113E7
202302,충청남도,외국인방문자(c),22775.0
202302,충청남도,외부방문자(b+c),1.1300888E7
202302,충청남도,전체방문자(a+b+c),4.2297049E7
202302,전라북도,현지인방문자(a),2.8799029E7
202302,전라북도,외지인방문자(b),6544125.0
202302,전라북도,외국인방문자(c),4969.0
202302,전라북도,외부방문자(b+c),6549094.0
202302,전라북도,전체방문자(a+b+c),3.5348123E7
202302,전라남도,현지인방문자(a),2.7523206E7
202302,전라남도,외지인방문자(b),8456077.0
202302,전라남도,외국인방문자(c),4623.0
202302,전라남도,외부방문자(b+c),8460700.0
202302,전라남도,전체방문자(a+b+c),3.5983906E7
202302,경상북도,현지인방문자(a),4.0226476E7
202302,경상북도,외지인방문자(b),1.2768598E7
202302,경상북도,외국인방문자(c),5169.0
202302,경상북도,외부방문자(b+c),1.2773767E7
202302,경상북도,전체방문자(a+b+c),5.3000244E7
202302,경상남도,현지인방문자(a),4.6524968E7
202302,경상남도,외지인방문자(b),1.0716444E7
202302,경상남도,외국인방문자(c),10928.0
202302,경상남도,외부방문자(b+c),1.0727371E7
202302,경상남도,전체방문자(a+b+c),5.7252339E7
202302,제주특별자치도,현지인방문자(a),1.550277E7
202302,제주특별자치도,외지인방문자(b),4931644.0
202302,제주특별자치도,외국인방문자(c),4272.0
202302,제주특별자치도,외부방문자(b+c),4935915.0
202302,제주특별자치도,전체방문자(a+b+c),2.0438686E7
202302,강원특별자치도,현지인방문자(a),2.5880827E7
202302,강원특별자치도,외지인방문자(b),1.1172693E7
202302,강원특별자치도,외국인방문자(c),11063.0
202302,강원특별자치도,외부방문자(b+c),1.1183756E7
202302,강원특별자치도,전체방문자(a+b+c),3.7064583E7
202303,서울특별시,현지인방문자(a),1.49666394E8
202303,서울특별시,외지인방문자(b),5.4703464E7
202303,서울특별시,외국인방문자(c),277395.0
202303,서울특별시,외부방문자(b+c),5.4980858E7
202303,서울특별시,전체방문자(a+b+c),2.04647253E8
202303,부산광역시,현지인방문자(a),4.8874147E7
202303,부산광역시,외지인방문자(b),1.3128549E7
202303,부산광역시,외국인방문자(c),31364.0
202303,부산광역시,외부방문자(b+c),1.3159913E7
202303,부산광역시,전체방문자(a+b+c),6.203406E7
202303,대구광역시,현지인방문자(a),3.9427182E7
202303,대구광역시,외지인방문자(b),9281352.0
202303,대구광역시,외국인방문자(c),8416.0
202303,대구광역시,외부방문자(b+c),9289769.0
202303,대구광역시,전체방문자(a+b+c),4.871695E7
202303,인천광역시,현지인방문자(a),4.1974846E7
202303,인천광역시,외지인방문자(b),1.5411358E7
202303,인천광역시,외국인방문자(c),209012.0
