기준년월,지자체,KTO업종중분류명,소비금액,전년동기소비금액,구성비,전년대비소비증감률
202305,서울특별시,관광총소비,3.36180858E8,8.8933824E7,100.0,278.0
202305,서울특별시,호텔,6.9729954E7,2.4093258E7,20.7,189.4
202305,서울특별시,콘도,59065.0,61397.0,0.0,-3.8
202305,서울특별시,캠핑장/펜션,1220.0,0.0,0.0,0.0
202305,서울특별시,기타숙박,1.593882E7,3520431.0,4.7,352.8
202305,서울특별시,여행업,630496.0,222152.0,0.2,183.8
202305,서울특별시,항공운송,1174303.0,603961.0,0.3,94.4
202305,서울특별시,렌터카,191274.0,93366.0,0.1,104.9
202305,서울특별시,면세점,2.3586611E7,2709901.0,7.0,770.4
202305,서울특별시,관광기념품,6172850.0,238237.0,1.8,2491.1
202305,서울특별시,레저용품쇼핑,7880318.0,1616198.0,2.3,387.6
202305,서울특별시,대형쇼핑몰,1.17457062E8,2.9933354E7,34.9,292.4
202305,서울특별시,관광유원시설,436126.0,66347.0,0.1,557.3
202305,서울특별시,골프장,401679.0,206051.0,0.1,94.9
202305,서울특별시,기타레저,292.0,28.0,0.0,942.9
202305,서울특별시,문화서비스,602369.0,210633.0,0.2,186.0
202305,서울특별시,식음료,6.6224729E7,2.2117951E7,19.7,199.4
202305,서울특별시,육상운송,196496.0,82810.0,0.1,137.3
202305,서울특별시,수상운송,47519.0,33779.0,0.0,40.7
202305,서울특별시,카지노,2.5449675E7,3123970.0,7.6,714.7
202306,서울특별시,관광총소비,3.44715748E8,1.03580109E8,100.0,232.8
202306,서울특별시,호텔,7.0724911E7,2.77269E7,20.5,155.1
202306,서울특별시,콘도,89579.0,74339.0,0.0,20.5
202306,서울특별시,캠핑장/펜션,1293.0,40.0,0.0,3132.0
202306,서울특별시,기타숙박,1.6272012E7,4441362.0,4.7,266.4
202306,서울특별시,여행업,669084.0,208656.0,0.2,220.7
202306,서울특별시,항공운송,1261466.0,633978.0,0.4,99.0
202306,서울특별시,렌터카,219198.0,159678.0,0.1,37.3
202306,서울특별시,면세점,2.9792829E7,3486730.0,8.6,754.5
202306,서울특별시,관광기념품,8319714.0,491020.0,2.4,1594.4
202306,서울특별시,레저용품쇼핑,7265162.0,1940536.0,2.1,274.4
202306,서울특별시,대형쇼핑몰,1.12583857E8,3.3929727E7,32.7,231.8
202306,서울특별시,관광유원시설,559267.0,122086.0,0.2,358.1
202306,서울특별시,골프장,279194.0,132192.0,0.1,111.2
202306,서울특별시,기타레저,256.0,400.0,0.0,-36.1
202306,서울특별시,문화서비스,692442.0,243895.0,0.2,183.9
202306,서울특별시,식음료,7.1149945E7,2.4503755E7,20.6,190.4
202306,서울특별시,육상운송,210397.0,72733.0,0.1,189.3
202306,서울특별시,수상운송,33654.0,42692.0,0.0,-21.2
202306,서울특별시,카지노,2.459149E7,5369387.0,7.1,358.0
202307,서울특별시,관광총소비,3.54109335E8,1.36343272E8,100.0,159.7
202307,서울특별시,호텔,7.0392278E7,3.2293015E7,19.9,118.0
202307,서울특별시,콘도,193828.0,124335.0,0.1,55.9
202307,서울특별시,캠핑장/펜션,500.0,0.0,0.0,0.0
202307,서울특별시,기타숙박,1.5441557E7,5650552.0,4.4,173.3
